"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"Kent"	71.9	86.9690744545	87.5166592625499	5.84164610101552	13.5934417951998	71.1111111111111	6.194034311632	372.031540411151	68.9687333451767	20	2015	"None"	"No"
"Leicester"	71	89.0124053487997	88.9246619446233	7.16940378528385	12.9461821127084	71.2477396021699	5.96268113468174	401.321731369924	72.7876248791492	21	2015	"1994"	"No"
"Aston"	70.4	86.5485252140818	87.0123691722169	5.81296810395747	16.1509618257311	73.5052754982415	6.21789830877714	381.3974522293	72.5285171102661	22	2015	"None"	"No"
"Nottingham"	70.4	88.1026014189557	87.6045074518357	6.69771478760411	14.0658023391364	77.4114441416893	5.94375929311254	441.980698706814	68.6306601200218	22	2015	"Russell"	"No"
"SOAS"	69.4	89.8644421272158	88.0199667221297	5.99916527545909	11.6278495843975	66.9090909090909	7.10763509078976	422.410901467505	66.6555740432612	24	2015	"1994"	"No"
"Glasgow"	69.3	91.6839016882304	89.9077277970011	6.18141901107253	15.2375287589635	74.9512670565302	4.50378115548786	487.428348301446	68.1774497366701	25	2015	"Russell"	"No"
"Cardiff"	69	88.2008684160845	89.1132075471698	7.51726979331181	13.0348561790011	77.8547854785478	5.708518122037	423.446987032799	67.3517100946491	26	2015	"Russell"	"No"
"Coventry"	68.9	90.8834075844833	88.5770234986945	3.7148754957415	15.2987651612507	71.8936516549104	6.43583446359456	313.161044973544	80.145204764803	27	2015	"Alliance"	"Yes"
"Leeds"	68.5999999999999	89.142008619753	87.1234067207415	6.64164204249204	14.6664462801428	70.0764111412373	6.36515880230485	434.05889698231	71.475371814571	28	2015	"Russell"	"No"
"Newcastle"	68.5999999999999	89.2114452493876	89.8520525109397	5.30769496762801	15.1852461070426	80.3017944535073	5.46372645673925	438.07673060884	71.0786151731033	28	2015	"Russell"	"No"
"Reading"	68.3	88.1818181818182	87.3888888888889	6.82566308669079	14.7104041945794	69.5544554455445	5.04568571254344	375.481643356643	67.7286856127886	30	2015	"None"	"No"
"University of the Arts London"	67.4	77.2061272061272	70.5059920106524	9.85374639769452	18.6890620026506	54.4333076329992	6.22127161383285	343.133956386292	69.0790350526456	31	2015	"None"	"No"
"Queen Mary"	67.2	88.1784076698624	88.2136894824707	7.28763957091775	13.9915665469178	70.0315457413249	4.77637249418195	424.481547354381	69.8193694594414	32	2015	"Russell"	"No"
